timestamp,container,cpu_percent,mem_usage,mem_limit,net_io
2026-06-10 16:24:53,docker-ssrf_proxy-1,0.01%,13.08MiB / 11.67GiB,1.46MB / 1.89kB
2026-06-10 16:25:24,docker-ragflow-cpu-1,8.67%,5.808GiB / 11.67GiB,2.48GB / 821MB
2026-06-10 16:25:24,docker-redis-1,0.16%,6.602MiB / 11.67GiB,24.7MB / 6.4MB
2026-06-10 16:25:24,docker-mysql-1,1.34%,111.1MiB / 11.67GiB,395MB / 1.05GB
2026-06-10 16:25:24,docker-minio-1,0.09%,1.249GiB / 11.67GiB,702MB / 1.44GB
2026-06-10 16:25:24,docker-es01-1,0.32%,1.024GiB / 8GiB,98.3MB / 941MB
2026-06-10 16:25:24,docker-nginx-1,0.00%,9.488MiB / 11.67GiB,986kB / 126B
2026-06-10 16:25:24,docker-plugin_daemon-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:25:24,docker-api-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:25:24,docker-worker-1,0.00%,267.5MiB / 11.67GiB,2.02kB / 424B
2026-06-10 16:25:24,docker-worker_beat-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:25:24,docker-web-1,0.35%,126.2MiB / 11.67GiB,986kB / 126B
2026-06-10 16:25:24,docker-db_postgres-1,1.85%,15.95MiB / 11.67GiB,41.2MB / 459MB
2026-06-10 16:25:24,docker-sandbox-1,0.00%,61.3MiB / 11.67GiB,478kB / 1.45kB
2026-06-10 16:25:24,docker-weaviate-1,2.00%,127.3MiB / 11.67GiB,992kB / 2.41kB
2026-06-10 16:25:24,docker-ssrf_proxy-1,0.03%,13.08MiB / 11.67GiB,1.46MB / 1.89kB
2026-06-10 16:25:56,docker-ragflow-cpu-1,2.18%,5.808GiB / 11.67GiB,2.61GB / 824MB
2026-06-10 16:25:56,docker-redis-1,0.10%,6.602MiB / 11.67GiB,24.8MB / 6.43MB
2026-06-10 16:25:56,docker-mysql-1,0.23%,111.2MiB / 11.67GiB,396MB / 1.05GB
2026-06-10 16:25:56,docker-minio-1,0.07%,1.249GiB / 11.67GiB,702MB / 1.44GB
2026-06-10 16:25:56,docker-es01-1,0.17%,1.024GiB / 8GiB,99.4MB / 1.07GB
2026-06-10 16:25:56,docker-nginx-1,0.00%,9.488MiB / 11.67GiB,988kB / 126B
2026-06-10 16:25:56,docker-plugin_daemon-1,0.04%,12.68MiB / 11.67GiB,688kB / 58.8kB
2026-06-10 16:25:56,docker-api-1,100.51%,252.1MiB / 11.67GiB,1.82kB / 252B
2026-06-10 16:25:56,docker-web-1,0.16%,126.1MiB / 11.67GiB,987kB / 126B
2026-06-10 16:25:56,docker-db_postgres-1,0.87%,23.13MiB / 11.67GiB,41.3MB / 460MB
2026-06-10 16:25:56,docker-sandbox-1,0.00%,61.3MiB / 11.67GiB,479kB / 1.45kB
2026-06-10 16:25:56,docker-weaviate-1,1.21%,127.3MiB / 11.67GiB,994kB / 2.41kB
2026-06-10 16:25:56,docker-ssrf_proxy-1,0.01%,13.08MiB / 11.67GiB,1.47MB / 1.89kB
2026-06-10 16:25:56,docker-worker-1,161.22%,222.8MiB / 11.67GiB,1.48kB / 168B
2026-06-10 16:26:30,docker-ragflow-cpu-1,244.33%,5.835GiB / 11.67GiB,2.76GB / 827MB
2026-06-10 16:26:30,docker-redis-1,0.08%,6.602MiB / 11.67GiB,24.8MB / 6.46MB
2026-06-10 16:26:30,docker-mysql-1,0.33%,111.3MiB / 11.67GiB,397MB / 1.06GB
2026-06-10 16:26:30,docker-minio-1,0.62%,1.249GiB / 11.67GiB,702MB / 1.44GB
2026-06-10 16:26:30,docker-es01-1,4.97%,1.024GiB / 8GiB,101MB / 1.2GB
2026-06-10 16:26:30,docker-nginx-1,0.00%,9.488MiB / 11.67GiB,990kB / 126B
2026-06-10 16:26:30,docker-worker-1,50.36%,267.5MiB / 11.67GiB,2.37kB / 424B
2026-06-10 16:26:30,docker-worker_beat-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:26:30,docker-web-1,0.19%,126.2MiB / 11.67GiB,990kB / 126B
2026-06-10 16:26:30,docker-db_postgres-1,4.39%,23.12MiB / 11.67GiB,41.5MB / 463MB
2026-06-10 16:26:30,docker-sandbox-1,0.00%,61.32MiB / 11.67GiB,480kB / 1.45kB
2026-06-10 16:26:30,docker-weaviate-1,2.84%,127.3MiB / 11.67GiB,997kB / 2.41kB
2026-06-10 16:26:30,docker-ssrf_proxy-1,0.03%,13.08MiB / 11.67GiB,1.47MB / 1.89kB
2026-06-10 16:26:30,docker-plugin_daemon-1,0.04%,12.31MiB / 11.67GiB,689kB / 60kB
2026-06-10 16:26:30,docker-api-1,172.95%,212.7MiB / 11.67GiB,1.26kB / 168B
2026-06-10 16:27:05,docker-ragflow-cpu-1,97.49%,5.842GiB / 11.67GiB,2.9GB / 829MB
2026-06-10 16:27:05,docker-redis-1,0.18%,6.598MiB / 11.67GiB,24.8MB / 6.49MB
2026-06-10 16:27:05,docker-mysql-1,0.82%,111.4MiB / 11.67GiB,398MB / 1.06GB
2026-06-10 16:27:05,docker-minio-1,0.13%,1.249GiB / 11.67GiB,702MB / 1.44GB
2026-06-10 16:27:05,docker-es01-1,19.88%,1.025GiB / 8GiB,102MB / 1.34GB
2026-06-10 16:27:05,docker-nginx-1,0.00%,9.488MiB / 11.67GiB,992kB / 126B
2026-06-10 16:27:05,docker-plugin_daemon-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:27:05,docker-api-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:27:05,docker-worker-1,0.00%,267.5MiB / 11.67GiB,1.95kB / 424B
2026-06-10 16:27:05,docker-worker_beat-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:27:05,docker-web-1,0.30%,126.1MiB / 11.67GiB,992kB / 126B
2026-06-10 16:27:05,docker-db_postgres-1,1.40%,15.97MiB / 11.67GiB,41.7MB / 464MB
2026-06-10 16:27:05,docker-sandbox-1,0.00%,61.32MiB / 11.67GiB,481kB / 1.45kB
2026-06-10 16:27:05,docker-weaviate-1,2.13%,127.3MiB / 11.67GiB,999kB / 2.41kB
2026-06-10 16:27:05,docker-ssrf_proxy-1,0.01%,13.08MiB / 11.67GiB,1.47MB / 1.89kB
2026-06-10 16:27:38,docker-ragflow-cpu-1,6.15%,5.842GiB / 11.67GiB,3.03GB / 832MB
2026-06-10 16:27:38,docker-redis-1,0.21%,6.598MiB / 11.67GiB,24.9MB / 6.51MB
2026-06-10 16:27:38,docker-mysql-1,2.76%,111.5MiB / 11.67GiB,399MB / 1.07GB
2026-06-10 16:27:38,docker-minio-1,0.10%,1.249GiB / 11.67GiB,702MB / 1.44GB
2026-06-10 16:27:38,docker-es01-1,0.35%,1.025GiB / 8GiB,103MB / 1.46GB
2026-06-10 16:27:38,docker-nginx-1,0.00%,9.488MiB / 11.67GiB,994kB / 126B
2026-06-10 16:27:38,docker-plugin_daemon-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:27:38,docker-api-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:27:38,docker-worker-1,0.00%,267.5MiB / 11.67GiB,1.83kB / 424B
2026-06-10 16:27:38,docker-worker_beat-1,0.00%,0B / 0B,0B / 0B
